PathwayID	source	target
WP4906	ENSG00000073598	ENSG00000065029
WP3584	ENSG00000017427	ENSG00000169057
WP5407	HMDB0000895	ENSG00000175344
WP5407	ENSG00000198690	ENSG00000140525
WP4932	ENSG00000106638	ENSG00000172071
WP4657	ENSG00000070413	ENSG00000189056
WP4932	ENSG00000146755	ENSG00000170142
WP2781, WP4083, WP4657, WP4932, WP5408	CHEBI:30616	CHEBI:456216
WP5402	ENSG00000120659	ENSG00000109320
WP4222	ENSG00000185532	ENSG00000118260
WP5407	ENSG00000034053	ENSG00000106089
WP4222	HMDB0000073	ENSG00000184845
WP4932	ENSG00000161011	ENSG00000094631
WP2781	R-HSA-1253328	R-HSA-8954176
WP4906	ENSG00000214097	ENSG00000073598
WP4657	ENSG00000215012	ENSG00000171791
WP5402	ENSG00000148671	ENSG00000132170
WP2781	R-HSA-1251980	R-HSA-9612227
WP5402	ENSG00000107779	WP428
WP4905	ENSG00000131778	CHEBI:16991
WP4932	P18640	ENSG00000106089
WP2781	R-HSA-1251980	R-HSA-1254284
WP5407	ENSG00000104067	ENSG00000198668
WP4932	CHEBI:17996	CHEBI:17996
WP5405	CHEBI:38083	ENSG00000165475
WP4940	ENSG00000273749	ENSG00000102081
WP5346	ENSG00000173273	ENSG00000103126
WP5398	ENSG00000179915	ENSG00000196338
WP2781	R-HSA-109796	CHEBI:17552
WP5346	ENSG00000147324	ENSG00000137462
WP3584	ENSG00000169057	ENSG00000176697
WP4657	ENSG00000099957	O15547
WP4222	HMDB0000073	ENSG00000149295
WP5402	ENSG00000122367	ENSG00000077522
WP3584	ENSG00000169057	ENSG00000118260
WP2781	R-HSA-1252008	R-HSA-1973959
WP4222	ENSG00000089250	HMDB0003378
WP5346	ENSG00000136574	ENSG00000089225
WP4932	ENSG00000143627	ENSG00000143627
WP4905, WP5407	ENSG00000104067	ENSG00000152661
WP2781	ENSG00000123933	Q14582
WP2781	R-HSA-1247495	R-HSA-1977955
WP4657	ENSG00000100084	ENSG00000135903
WP5346	ENSG00000258724	ENSG00000187778
WP5407	ENSG00000034053	ENSG00000173039
WP4932	ENSG00000106638	ENSG00000120942
WP4657	CHEBI:18357	CHEBI:89951
WP4222	HMDB0000058	HMDB0003540
WP5407	ENSG00000104067	ENSG00000118900
WP4906	ENSG00000174007	ENSG00000079974
WP2781	R-HSA-1252016	R-HSA-9612450
WP5408	ENSG00000103942	ENSG00000251322
WP4657	ENSG00000112658	ENSG00000107796
WP4932	ENSG00000146755	ENSG00000094631
WP4932	ENSG00000049541	ENSG00000127586
WP5408	ENSG00000169612	ENSG00000101654
WP5346	ENSG00000173273	ENSG00000147601
WP5346	ENSG00000147324	ENSG00000144381
WP3584	ENSG00000169057	CHEBI:29987
WP5407	ENSG00000104067	ENSG00000107554
WP4906	CHEBI:295975	CHEBI:33019
WP4657	CHEBI:14321	CHEBI:28300
WP4906	71557891	ENSG00000180370
WP3584	ENSG00000017427	ENSG00000140443
WP5408	ENSG00000064726	ENSG00000198900
WP2781	R-HSA-1843077	R-HSA-1251970
WP4657	MIRT437986	ENSG00000149295
WP2781	ENSG00000082175	P06401
WP4906	CHEBI:29950	CHEBI:74151
WP4905	CHEBI:7794	HMDB0001429
WP4906	ENSG00000174004	ENSG00000105329
WP4932	ENSG00000106683	ENSG00000129757
WP2781	R-HSA-1253341	R-HSA-1253347
WP4940	ENSG00000102081	WP4549
WP5402	ENSG00000122378	WP382
WP5407	ENSG00000169926	ENSG00000271503
WP4657	ENSG00000070371	ENSG00000181856
WP5346	ENSG00000205884	HMDB0254119
WP2781	R-HSA-1254288	R-HSA-8954223
WP5346	ENSG00000136573	ENSG00000139515
WP5412	ENSG00000023287	ENSG00000169398
WP2781	R-HSA-1806218	R-HSA-1250373
WP4932	ENSG00000163347	WP1793
WP5399	ENSG00000120899	ENSG00000120899
WP2781	R-HSA-1254397	R-HSA-9612668
WP2781	R-HSA-1253275	R-HSA-1253284
WP4657	ENSG00000166851	ENSG00000166851
WP2781	R-HSA-1251980	R-HSA-1253326
WP4657	ENSG00000184058	ENSG00000070193
WP4222	HMDB0000058	ENSG00000131771
WP4657	ENSG00000237517	ENSG00000146648
WP4657	ENSG00000185252	ENSG00000181222
WP408	ENSG00000255346	CHEBI:26523
WP4905	CHEBI:16269	CHEBI:17735
WP4222	ENSG00000072062	ENSG00000131771
WP4906	CHEBI:37563	CHEBI:33019
WP4657	ENSG00000099942	WP4083
WP5408	ENSG00000073417	ENSG00000132155
WP5346	ENSG00000164430	ENSG00000164430
WP4932	ENSG00000049540	WP2666
WP4906	ENSG00000078725	ENSG00000078725
WP4657	MIMAT0003319	ENSG00000172175
WP4932	ENSG00000106665	ENSG00000163539
WP2781	R-HSA-1233236	R-HSA-1236393
WP4906	ENSG00000186575	ENSG00000186575
WP2781	R-HSA-1236393	R-HSA-1250221
WP4222	ENSG00000131771	ENSG00000155511
WP4657	ENSG00000184058	ENSG00000128918
WP5408	ENSG00000103942	ENSG00000135439
WP5346	ENSG00000173273	WP183
WP4222	ENSG00000113448	ENSG00000123360
WP4932	ENSG00000144895	ENSG00000106638
