Ensembl	KEid	AOPid
ENSG00000131095	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000132535	https://identifiers.org/aop.events/382	https://identifiers.org/aop/13
ENSG00000132541	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000133742	https://identifiers.org/aop.events/192; https://identifiers.org/aop.events/386; https://identifiers.org/aop.events/758; https://identifiers.org/aop.events/757; https://identifiers.org/aop.events/618	https://identifiers.org/aop/65; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/405; https://identifiers.org/aop/429; https://identifiers.org/aop/475; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/490; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/442; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48
ENSG00000134294	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000134538	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000134575	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000135047	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000135679	https://identifiers.org/aop.events/1974	https://identifiers.org/aop/441
ENSG00000135744	https://identifiers.org/aop.events/1739	https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000136244	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/2097; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000136810	https://identifiers.org/aop.events/1538; https://identifiers.org/aop.events/1487	https://identifiers.org/aop/17; https://identifiers.org/aop/17
ENSG00000136869	https://identifiers.org/aop.events/1825; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/464; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000137090	https://identifiers.org/aop.events/1968	https://identifiers.org/aop/500
ENSG00000137462	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000137509	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000137648	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000137747	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000138079	https://identifiers.org/aop.events/1739	https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000138356	https://identifiers.org/aop.events/875; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896	https://identifiers.org/aop/475; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/442; https://identifiers.org/aop/475; https://identifiers.org/aop/48; https://identifiers.org/aop/483; https://identifiers.org/aop/490; https://identifiers.org/aop/499; https://identifiers.org/aop/500; https://identifiers.org/aop/54; https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000138385	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/1635	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/483
ENSG00000138722	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000139155	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000139726	https://identifiers.org/aop.events/957	https://identifiers.org/aop/152
ENSG00000140465	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000140505	https://identifiers.org/aop.events/850; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/459; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000140988	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000141510	https://identifiers.org/aop.events/1513; https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1974	https://identifiers.org/aop/260; https://identifiers.org/aop/500; https://identifiers.org/aop/441
ENSG00000142507	https://identifiers.org/aop.events/383; https://identifiers.org/aop.events/1974	https://identifiers.org/aop/13; https://identifiers.org/aop/441
ENSG00000142784	https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000143437	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000143543	https://identifiers.org/aop.events/55	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490
ENSG00000143799	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000144339	https://identifiers.org/aop.events/1656	https://identifiers.org/aop/300; https://identifiers.org/aop/485
ENSG00000146469	https://identifiers.org/aop.events/851	https://identifiers.org/aop/54
ENSG00000146477	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000146733	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000147065	https://identifiers.org/aop.events/896	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000147099	https://identifiers.org/aop.events/1502	https://identifiers.org/aop/275; https://identifiers.org/aop/449
ENSG00000147100	https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000147571	https://identifiers.org/aop.events/277	https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65
ENSG00000148180	https://identifiers.org/aop.events/1339	https://identifiers.org/aop/214; https://identifiers.org/aop/499; https://identifiers.org/aop/500
ENSG00000149311	https://identifiers.org/aop.events/1974	https://identifiers.org/aop/441
ENSG00000149735	https://identifiers.org/aop.events/1392	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483
ENSG00000150782	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000151093	https://identifiers.org/aop.events/1841	https://identifiers.org/aop/374; https://identifiers.org/aop/471
ENSG00000151623	https://identifiers.org/aop.events/889	https://identifiers.org/aop/3
ENSG00000151849	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000151914	https://identifiers.org/aop.events/958	https://identifiers.org/aop/152
