"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","Name2","selected","shared name","WikiPathways"
"1","ENSG00000073756","259",,,"5743","PTGS2","false","5743",
"1","ENSG00000082458","260",,,"1741","DLG3","false","1741",
"1","ENSG00000068366","261",,,"2182","ACSL4","false","2182",
"1","ENSG00000078142","262",,,"5289","PIK3C3","false","5289",
"1","ENSG00000164778","263",,,"2020","EN2","false","2020",
"1","ENSG00000113758","264",,,"1627","DBN1","false","1627",
"1","ENSG00000014641","265",,,"4190","MDH1","false","4190",
"1","ENSG00000163536","266",,,"5274","SERPINI1","false","5274",
"1","ENSG00000100219","267",,,"7494","XBP1","false","7494",
"1","ENSG00000148926","268",,,"133","ADM","false","133",
"1","ENSG00000153234","269",,,"4929","NR4A2","false","4929",
"1","ENSG00000184347","270",,,"6586","SLIT3","false","6586",
"1","ENSG00000164326","271",,,"9607","CARTPT","false","9607",
"1","ENSG00000104290","272",,,"7976","FZD3","false","7976",
"1","ENSG00000184984","273",,,"1133","CHRM5","false","1133",
"1","ENSG00000100151","274",,,"9463","PICK1","false","9463",
"1","ENSG00000170890","275",,,"5319","PLA2G1B","false","5319",
"1","ENSG00000184381","276",,,"8398","PLA2G6","false","8398",
"1","ENSG00000204267","277",,,"6891","TAP2","false","6891",
"1","ENSG00000233276","278",,,"2876","GPX1","false","2876",
"1","ENSG00000102934","279",,,"51090","PLLP","false","51090",
"1","ENSG00000130751","280",,,"4861","NPAS1","false","4861",
"1","ENSG00000163394","281",,,"886","CCKAR","false","886",
"1","ENSG00000107130","282",,,"23413","NCS1","false","23413",
"1","ENSG00000065150","283",,,"3843","IPO5","false","3843",
"1","ENSG00000102195","284",,,"9248","GPR50","false","9248",
"1","ENSG00000078018","285",,,"4133","MAP2","false","4133",
"1","ENSG00000108819","286",,,"84687","PPP1R9B","false","84687",
"1","ENSG00000148908","287",,,"6001","RGS10","false","6001",
"1","ENSG00000148180","288",,,"2934","GSN","false","2934",
"1","ENSG00000128683","289",,,"2571","GAD1","false","2571",
"1","ENSG00000136750","290",,,"2572","GAD2","false","2572",
"1","ENSG00000165868","291",,,"259217","HSPA12A","false","259217",
"1","ENSG00000131759","292",,,"5914","RARA","false","5914",
"1","ENSG00000163220","293",,,"6280","S100A9","false","6280",
"1","ENSG00000135821","294",,,"2752","GLUL","false","2752",
"1","ENSG00000204655","295",,,"4340","MOG","false","4340",
"1","ENSG00000123560","296",,,"5354","PLP1","false","5354",
"1","ENSG00000117480","297",,,"2166","FAAH","false","2166",
"1","ENSG00000011376","298",,,"23395","LARS2","false","23395",
"1","ENSG00000090339","299",,,"3383","ICAM1","false","3383",
"1","ENSG00000134982","300",,,"324","APC","false","324",
"1","ENSG00000113327","301",,,"2566","GABRG2","false","2566",
"1","ENSG00000128245","302",,,"7533","YWHAH","false","7533",
"1","ENSG00000128917","303",,,"54567","DLL4","false","54567",
"1","ENSG00000006128","304",,,"6863","TAC1","false","6863",
"1","ENSG00000174697","305",,,"3952","LEP","false","3952",
"1","ENSG00000102753","306",,,"3839","KPNA3","false","3839",
"1","ENSG00000131095","307",,,"2670","GFAP","false","2670",
"1","ENSG00000163873","308",,,"2899","GRIK3","false","2899",
"1","ENSG00000167720","309",,,"63826","SRR","false","63826",
"1","ENSG00000204389","310",,,"3303","HSPA1A","false","3303",
"1","ENSG00000204388","311",,,"3304","HSPA1B","false","3304",
"1","ENSG00000204390","312",,,"3305","HSPA1L","false","3305",
"1","ENSG00000121764","313",,,"3061","HCRTR1","false","3061",
"1","ENSG00000022355","314",,,"2554","GABRA1","false","2554",
"1","ENSG00000050165","315",,,"27122","DKK3","false","27122",
