PathwayID	source	target
WP5402	ENSG00000122367	ENSG00000077522
WP4905, WP5407	ENSG00000104067	ENSG00000105289
WP5407	ENSG00000104067	IPR004031
WP4657	ENSG00000132155	ENSG00000132155
WP4932	ENSG00000146755	ENSG00000170142
WP4906	ENSG00000173757	ENSG00000173757
WP4932	ENSG00000146755	ENSG00000156587
WP5346	ENSG00000136574	ENSG00000168487
WP4222	CHEBI:104872	ENSG00000113448
WP5412	ENSG00000023287	ENSG00000197442
WP4932	ENSG00000026103	ENSG00000026103
WP4906	ENSG00000165806	ENSG00000165806
WP4657	HMDB0002104	CHEBI:15893
WP4932	ENSG00000106683	ENSG00000157168
WP4932	CHEBI:17996	CHEBI:17996
WP4942, WP5407	ENSG00000169926	ENSG00000114166
WP5407	CHEBI:14321	ENSG00000134160
WP4222	HMDB0000058	ENSG00000131771
WP4932	ENSG00000184113	WP1793
WP4657	ENSG00000099889	ENSG00000129910
WP4657	CHEBI:15893	HMDB0002104
WP4932	ENSG00000146755	ENSG00000170035
WP3584	ENSG00000169057	ENSG00000176165
WP4932	CHEBI:18243	CHEBI:18243
WP4657	ENSG00000184113	ENSG00000163347
WP3584	ENSG00000142208	ENSG00000176165
WP4657	ENSG00000184058	ENSG00000070193
WP5398	ENSG00000179915	ENSG00000146938
WP5407	ENSG00000127022	ENSG00000175344
WP5408	CHEBI:16704	CHEBI:16704
WP5402	CHEBI:29985	CHEBI:16810
WP4906	ENSG00000163975	CHEBI:29033
WP4932	ENSG00000049541	ENSG00000127586
WP5407	ENSG00000034053	ENSG00000136854
WP4906	CHEBI:29033	ENSG00000091513
WP4657	ENSG00000183072	ENSG00000159251
WP5408	CHEBI:58165	CHEBI:456215
WP4657	ENSG00000040608	WP4443
WP5346	ENSG00000166224	WP4725
WP5412	ENSG00000141510	ENSG00000023287
WP408	ENSG00000255346	CHEBI:26523
WP5407	HMDB0000895	ENSG00000175344
WP5407	ENSG00000198690	ENSG00000144554
WP5408	ENSG00000103942	ENSG00000150995
WP3584	ENSG00000017427	ENSG00000140443
WP4657	ENSG00000099899	Q189101
WP5407	ENSG00000104067	ENSG00000183153
WP5406	CHEBI:17552	ENSG00000070831
WP4932	ENSG00000049540	WP2666
WP3584	CHEBI:29987	ENSG00000155511
WP4906	ENSG00000163961	ENSG00000177889
WP4906	ENSG00000089159	ENSG00000089159
WP4875	ENSG00000198576	ENSG00000198576
WP4932	ENSG00000106635	ENSG00000137309
WP5399	ENSG00000120899	ENSG00000120899
WP4222	ENSG00000113448	ENSG00000123360
WP4932	ENSG00000106638	ENSG00000144895
