identifier	identifier.source	target	target.source
CHEMBL154580	ChEMBL compound	93674	ChEBI
CHEMBL227744	ChEMBL compound	27960	ChEBI
CHEMBL336961	ChEMBL compound	131490	ChEBI
CHEMBL490	ChEMBL compound	7936	ChEBI
CHEMBL497	ChEMBL compound	74460	ChEBI
CHEMBL412142	ChEMBL compound	91091	ChEBI
CHEMBL389433	ChEMBL compound	135316	ChEBI
CHEMBL90568	ChEMBL compound	4630	ChEBI
CHEMBL189171	ChEMBL compound	31162	ChEBI
CHEMBL1160709	ChEMBL compound	83330	ChEBI
CHEMBL91867	ChEMBL compound	90180	ChEBI
CHEMBL1320139	ChEMBL compound	29671	ChEBI
CHEMBL1334769	ChEMBL compound	109831	ChEBI
CHEMBL1160723	ChEMBL compound	6257	ChEBI
CHEMBL178455	ChEMBL compound	92822	ChEBI
CHEMBL1370446	ChEMBL compound	136017	ChEBI
CHEMBL1371770	ChEMBL compound	92833	ChEBI
CHEMBL255044	ChEMBL compound	94646	ChEBI
CHEMBL429023	ChEMBL compound	28201	ChEBI
CHEMBL280065	ChEMBL compound	71466	ChEBI
CHEMBL1418894	ChEMBL compound	114554	ChEBI
CHEMBL572878	ChEMBL compound	91336	ChEBI
CHEMBL1200478	ChEMBL compound	4725	ChEBI
CHEMBL416	ChEMBL compound	18358	ChEBI
CHEMBL415	ChEMBL compound	47780	ChEBI
CHEMBL39317	ChEMBL compound	92341	ChEBI
CHEMBL413	ChEMBL compound	9168	ChEBI
CHEMBL411	ChEMBL compound	41922	ChEBI
CHEMBL16687	ChEMBL compound	131351	ChEBI
CHEMBL489	ChEMBL compound	44616	ChEBI
CHEMBL478	ChEMBL compound	10588	ChEBI
CHEMBL1201749	ChEMBL compound	31485	ChEBI
