PathwayID	source	target
WP5408	ENSG00000103942	ENSG00000198626
WP5346	ENSG00000258724	ENSG00000147601
WP2781	R-HSA-1973959	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/f454b
WP2781	R-HSA-157343	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/c5451
WP5407	ENSG00000104067	ENSG00000154639
WP4932	ENSG00000106682	WP1812
WP2781	R-HSA-1233235	R-HSA-1236393
WP5406	ENSG00000205863	ENSG00000240654
WP4657	ENSG00000185838	WP35
WP4932	ENSG00000165215	ENSG00000163347
WP2781	CHEBI:30616	R-HSA-1250341
WP2781	CHEBI:15996	CHEBI:17552
WP3584	ENSG00000169057	ENSG00000065978
WP2781	P12931	R-HSA-9612227
WP2781	R-HSA-9612446	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/ef5c8
WP5407	ENSG00000104067	IPR004031
WP4932	ENSG00000006704	ENSG00000037965
WP5406	ENSG00000182957	CHEBI:17552
WP4657	HMDB0002104	CHEBI:16176
WP4083	R-HSA-8855258	CHEBI:456216
WP2781	R-HSA-1236393	R-HSA-1977956
WP4657	ENSG00000159423	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/e0e48
WP4657	CHEBI:8863	CHEBI:14321
WP4932	ENSG00000146755	ENSG00000156587
WP5346	3137320	ENSG00000173273
WP5346	ENSG00000136574	ENSG00000166224
WP2781	R-HSA-1254397	R-HSA-8954204
WP2781	CHEBI:30616	R-HSA-1250343
WP2781	R-HSA-109796	R-HSA-109783
WP4657	CHEBI:6067	CHEBI:63795
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id256f443
WP4657	CHEBI:26271	CHEBI:15893
WP4905	ENSG00000104067	ENSG00000158769
WP4932	ENSG00000009954	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id4d55f724
WP4657	ENSG00000184058	ENSG00000112658
WP2781	ENSG00000160307	R-HSA-8954176
WP4906	ENSG00000091513	ENSG00000072274
WP4932	WP23	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id872f58e1
WP3584	MIMAT0000429	ENSG00000106462
WP5398	MI0000279	ENSG00000179915
WP5402	ENSG00000165678	ENSG00000141385
WP5406	ENSG00000102683	ENSG00000128591
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id53c425a8
WP5408	ENSG00000140600	ENSG00000197386
WP4932	ENSG00000102882	ENSG00000263001
WP5346	ENSG00000104643	ENSG00000102043
WP4932	ENSG00000213024	ENSG00000094631
WP5402	CHEBI:18420	ENSG00000151224
WP5346	ENSG00000173273	ENSG00000137497
WP4906	ENSG00000075711	ENSG00000155511
WP4906	ENSG00000163958	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id819b3256
WP5402	ENSG00000188373	ENSG00000154165
WP4222	CHEBI:37565	HMDB0001314
WP4905	WP428	WP1591
WP4905	ENSG00000131781	http://rdf.wikipathways.org/Pathway/WP4905_r124898/WP/Interaction/c0ebb
WP4906	ENSG00000136997	ENSG00000136997
WP4905	ENSG00000162836	http://rdf.wikipathways.org/Pathway/WP4905_r124898/WP/Interaction/b9361
WP2781	R-HSA-1254284	R-HSA-1254288
WP4905	CHEBI:62837	CHEBI:75757
WP4222	ENSG00000123360	http://rdf.wikipathways.org/Pathway/WP4222_r124530/WP/Interaction/id35e63bf7
WP5402	ENSG00000148600	ENSG00000130368
WP5408	ENSG00000103942	ENSG00000197959
WP4222	HMDB0003540	ENSG00000072062
WP2781	R-HSA-1252015	R-HSA-9612446
WP2781	CHEBI:18348	CHEBI:456216
WP2781	Q9NZC7	R-HSA-1253344
WP4932	CHEBI:50324	CHEBI:74480
WP2781	ENSG00000107562	R-HSA-8954210
WP4657	ENSG00000090539	ENSG00000184058
WP4657	CHEBI:14321	CHEBI:30915
WP5346	ENSG00000154328	WP4752
WP3584	ENSG00000017427	ENSG00000176165
WP4932	ENSG00000146755	ENSG00000146755
WP4222	HMDB0001314	HMDB0001397
WP4657	HMDB0002104	CHEBI:14321
WP4657	ENSG00000184702	PF00804
WP5346	ENSG00000147324	ENSG00000136869
WP5407	ENSG00000104067	ENSG00000183153
WP5405	ENSG00000165475	http://rdf.wikipathways.org/Pathway/WP5405_r127147/WP/Interaction/idc33a099b
WP4657	ENSG00000164690	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/f6220
WP5408	ENSG00000156222	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/id100042a2
WP5407	CHEBI:14321	ENSG00000134160
WP2781	R-HSA-1251960	R-HSA-1251980
WP4657	ENSG00000100056	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/idee1213c
WP2781	ENSG00000160307	P04271
WP4942	Q1159221	ENSG00000175344
WP4932	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/bc573	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/e5ca9
WP2781	R-HSA-1250343	R-HSA-1250382
WP4222	HMDB0003540	HMDB0000058
WP4932	CHEBI:9168	ENSG00000077800
WP4657	ENSG00000185345	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/id4bc0ad59
WP4222	HMDB0001314	ENSG00000185532
WP4657	ENSG00000107831	ENSG00000107831
WP408	50507	CHEBI:26523
WP2781	R-HSA-9612622	R-HSA-9612640
WP4657	ENSG00000184058	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/f97e5
WP4932	ENSG00000094631	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id4db05c57
WP5346	ENSG00000117984	ENSG00000164733
WP2781	ENSG00000082175	R-HSA-8954204
WP4657	ENSG00000128185	ENSG00000130669
WP5408	ENSG00000132155	ENSG00000138798
WP4906	CHEBI:295975	CHEBI:58779
WP5407	ENSG00000104067	ENSG00000165887
WP2781	ENSG00000178568	R-HSA-9612668
WP5407	http://rdf.wikipathways.org/Pathway/WP5407_r127173/Complex/db166	http://rdf.wikipathways.org/Pathway/WP5407_r127173/WP/Interaction/id42b23baf
WP5346	ENSG00000104643	ENSG00000139505
WP4906	ENSG00000072274	ENSG00000091513
WP4906	ENSG00000161217	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/d37cf
WP3584	11318905	ENSG00000140443
WP5412	ENSG00000023287	http://rdf.wikipathways.org/Pathway/WP5412_r127218/WP/Interaction/id467e7aba
WP5398	ENSG00000179915	ENSG00000169760
